epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,675.783,1.06859,1.7324,0.95351,0.81298,0.67741,0.87758,0.67741,0.83255,1.98301,0.86278,0.000550792,0.000550792,0.000550792
2,1327.39,0.86038,0.87137,0.87978,0.92683,0.94371,0.9579,0.73928,0.78927,0.87715,0.87364,0.00105169,0.00105169,0.00105169
3,2003.35,0.83646,0.73444,0.87658,0.90263,0.95246,0.96921,0.78066,0.74231,0.73516,0.86086,0.00149758,0.00149758,0.00149758
4,2691.37,0.81698,0.64148,0.87353,0.91758,0.94632,0.97935,0.80776,0.71273,0.62431,0.85771,0.00141945,0.00141945,0.00141945
5,3379.56,0.77252,0.55224,0.86205,0.96531,0.97706,0.98971,0.803,0.71648,0.53147,0.85069,0.00133693,0.00133693,0.00133693
6,4072.09,0.75744,0.52728,0.85701,0.90008,0.90501,0.96768,0.78252,0.72387,0.67639,0.85838,0.00125442,0.00125442,0.00125442
7,4777.88,0.74412,0.49202,0.85586,0.96909,0.97885,0.9898,0.83175,0.64537,0.4581,0.84092,0.0011719,0.0011719,0.0011719
8,5462.3,0.71777,0.46013,0.8537,0.98233,0.97308,0.9919,0.82766,0.66442,0.40928,0.84658,0.00108938,0.00108938,0.00108938
9,6137.84,0.70528,0.44437,0.8517,0.93875,0.98031,0.99122,0.83037,0.65336,0.41518,0.84779,0.00100687,0.00100687,0.00100687
10,6809.53,0.70137,0.44357,0.84932,0.95072,0.96108,0.9848,0.82702,0.63862,0.43797,0.83897,0.000924352,0.000924352,0.000924352
11,7463.18,0.66566,0.42124,0.8472,0.97376,0.97804,0.99052,0.8326,0.66111,0.40293,0.84678,0.000841835,0.000841835,0.000841835
12,8109.48,0.67075,0.40849,0.84981,0.98562,0.98816,0.99367,0.83844,0.6575,0.37841,0.84841,0.000759318,0.000759318,0.000759318
13,8740.3,0.65417,0.38519,0.84713,0.98673,0.99492,0.99448,0.8394,0.63308,0.35507,0.84414,0.000676802,0.000676802,0.000676802
14,9383.41,0.64739,0.37407,0.84374,0.98737,0.98479,0.99431,0.84043,0.63915,0.352,0.84103,0.000594286,0.000594286,0.000594286
15,10032.3,0.63226,0.35638,0.84061,0.99122,0.99282,0.99469,0.85033,0.61262,0.32949,0.83542,0.000511769,0.000511769,0.000511769
16,10684.6,0.62014,0.34411,0.83813,0.99294,0.99447,0.99495,0.85772,0.58153,0.30842,0.82752,0.000429253,0.000429253,0.000429253
17,11335.6,0.60483,0.33254,0.83419,0.9852,0.99211,0.99478,0.85806,0.59019,0.32078,0.83098,0.000346736,0.000346736,0.000346736
18,11986.8,0.59294,0.32045,0.83079,0.9955,0.99284,0.99492,0.86088,0.58678,0.30216,0.82999,0.00026422,0.00026422,0.00026422
19,12640.9,0.58439,0.31215,0.82885,0.99418,0.99336,0.99494,0.86664,0.57591,0.2921,0.82711,0.000181703,0.000181703,0.000181703
20,13287.4,0.57389,0.3036,0.82712,0.99264,0.9941,0.99495,0.86653,0.57138,0.29041,0.82563,9.91865e-05,9.91865e-05,9.91865e-05
