epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.513,0.91381,1.0247,0.93611,0.21149,0.84838,0.20305,0.15638,0.83394,2.73918,0.93755,0.000551036,0.000551036,0.000551036
2,281.344,0.82035,0.56378,0.90633,0.90832,0.89811,0.96918,0.78009,0.74463,0.69463,0.9202,0.00107018,0.00107018,0.00107018
3,406.207,0.82887,0.55236,0.91411,0.93913,0.90607,0.9665,0.77584,0.75811,0.57849,0.91281,0.00155265,0.00155265,0.00155265
4,526.756,0.79578,0.51421,0.90383,0.94475,0.90789,0.96742,0.77819,0.73447,0.53488,0.90234,0.00150197,0.00150197,0.00150197
5,649.692,0.7624,0.48376,0.89258,0.97329,0.97501,0.98821,0.82891,0.65531,0.41948,0.87928,0.00144696,0.00144696,0.00144696
6,773.139,0.73448,0.44657,0.8808,0.97287,0.97254,0.99049,0.83482,0.63492,0.3761,0.86747,0.00139195,0.00139195,0.00139195
7,901.189,0.71376,0.41906,0.87615,0.98583,0.97945,0.99293,0.8314,0.64265,0.38622,0.87024,0.00133693,0.00133693,0.00133693
8,1020.54,0.70319,0.41824,0.87159,0.96806,0.97632,0.98992,0.8234,0.64655,0.37003,0.87343,0.00128192,0.00128192,0.00128192
9,1144.14,0.69873,0.41069,0.87175,0.9905,0.98842,0.99314,0.83552,0.65983,0.34761,0.87396,0.00122691,0.00122691,0.00122691
10,1265.98,0.66972,0.37558,0.86404,0.98621,0.98645,0.99178,0.84785,0.60355,0.33442,0.86135,0.0011719,0.0011719,0.0011719
11,1386.88,0.67052,0.37442,0.86447,0.98005,0.98411,0.98896,0.84403,0.60961,0.33298,0.85909,0.00111689,0.00111689,0.00111689
12,1510.25,0.66453,0.36647,0.86017,0.98495,0.97638,0.98986,0.85186,0.59489,0.31913,0.85478,0.00106188,0.00106188,0.00106188
13,1628.63,0.64479,0.35662,0.85628,0.98782,0.97598,0.99397,0.86034,0.59243,0.32262,0.85429,0.00100687,0.00100687,0.00100687
14,1750.53,0.63892,0.34868,0.85503,0.98448,0.99135,0.99048,0.8598,0.58331,0.31066,0.8518,0.000951857,0.000951857,0.000951857
15,1868.81,0.62829,0.34283,0.85316,0.98358,0.98761,0.99245,0.86161,0.56569,0.30525,0.84652,0.000896846,0.000896846,0.000896846
16,1991.94,0.61601,0.33617,0.84787,0.99155,0.98942,0.99364,0.86602,0.55898,0.28883,0.84508,0.000841835,0.000841835,0.000841835
17,2108.45,0.6044,0.32095,0.84654,0.97638,0.98761,0.9909,0.85852,0.57649,0.3029,0.84997,0.000786824,0.000786824,0.000786824
18,2228.01,0.59831,0.32352,0.84907,0.99126,0.98992,0.9936,0.86186,0.56002,0.28061,0.84736,0.000731813,0.000731813,0.000731813
19,2347.77,0.59773,0.31259,0.84598,0.99113,0.99015,0.99371,0.86807,0.55399,0.27852,0.84334,0.000676802,0.000676802,0.000676802
20,2480.07,0.59298,0.30655,0.8424,0.99371,0.9924,0.99271,0.87501,0.53744,0.26852,0.83751,0.000621791,0.000621791,0.000621791
21,2605.28,0.58457,0.29828,0.85132,0.97432,0.98845,0.9929,0.8632,0.5784,0.30325,0.84891,0.00056678,0.00056678,0.00056678
22,2723.71,0.57541,0.29547,0.85485,0.9904,0.99154,0.99324,0.87027,0.54727,0.27658,0.84407,0.000511769,0.000511769,0.000511769
23,2843.1,0.5712,0.28606,0.85223,0.99143,0.99445,0.99266,0.86826,0.54223,0.27348,0.84015,0.000456758,0.000456758,0.000456758
24,2962.94,0.55809,0.28089,0.84699,0.98594,0.98701,0.99193,0.86993,0.54383,0.27532,0.83998,0.000401747,0.000401747,0.000401747
25,3082.94,0.55347,0.2782,0.84437,0.99143,0.9921,0.99393,0.87852,0.52299,0.25573,0.83385,0.000346736,0.000346736,0.000346736
26,3205.28,0.54667,0.26685,0.84309,0.99088,0.99359,0.99318,0.87424,0.53072,0.26192,0.83511,0.000291725,0.000291725,0.000291725
27,3324.72,0.53546,0.26083,0.83851,0.98911,0.99315,0.99329,0.87809,0.52856,0.25458,0.83511,0.000236714,0.000236714,0.000236714
28,3444.42,0.52861,0.25362,0.83666,0.9895,0.99756,0.99357,0.88054,0.51998,0.24349,0.83187,0.000181703,0.000181703,0.000181703
29,3573.43,0.52167,0.24741,0.83209,0.98934,0.99613,0.99397,0.88044,0.51272,0.23661,0.83164,0.000126692,0.000126692,0.000126692
30,3688.83,0.5148,0.24096,0.83676,0.99141,0.99708,0.99361,0.88269,0.50971,0.23176,0.83174,7.1681e-05,7.1681e-05,7.1681e-05
